project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
854 NE KILLINGSWORTH ST,854 NE KILLINGSWORTH ST,Portland,97211,45.5624965714774,-122.656816697922,1.0,1.0,1.0,in_service,1926.0,Metro RLIS Affordable Housing
5049 NE 14TH AVE,5049 NE 14TH AVE,Portland,97211,45.5598752606471,-122.651958154756,1.0,1.0,1.0,in_service,1911.0,Metro RLIS Affordable Housing
4411-4413 NE 7TH AVE,4411 NE 7TH AVE,Portland,97211,45.5551881860801,-122.658764048286,2.0,2.0,2.0,in_service,1914.0,Metro RLIS Affordable Housing
744 NE ROSELAWN ST,744 NE ROSELAWN ST,Portland,97211,45.5610054721604,-122.657965829929,1.0,1.0,1.0,in_service,1914.0,Metro RLIS Affordable Housing
738 NE EMERSON ST,738 NE EMERSON ST,Portland,97211,45.5616271808989,-122.658146878788,1.0,1.0,1.0,in_service,1922.0,Metro RLIS Affordable Housing
921 NE ROSELAWN ST,921 NE ROSELAWN ST,Portland,97211,45.5614032460077,-122.655777531644,1.0,1.0,1.0,in_service,1909.0,Metro RLIS Affordable Housing
904 NE SUMNER ST,904 NE SUMNER ST,Portland,97211,45.5604267961541,-122.656109441997,1.0,1.0,1.0,in_service,1926.0,Metro RLIS Affordable Housing
VESIA LOVING,4531 N MISSISSIPPI AVE,Portland,97217,45.5559700864346,-122.676263175182,4.0,4.0,,in_service,1993.0,Metro RLIS Affordable Housing
6813 SE 67TH AVE,6813 SE 67TH AVE,Portland,97206,45.4732749069981,-122.594391465605,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
4533 NE 9TH AVE,4533 NE 9TH AVE,Portland,97211,45.5560309069651,-122.656896416081,1.0,1.0,1.0,in_service,1906.0,Metro RLIS Affordable Housing
730 NE EMERSON ST,730 NE EMERSON ST,Portland,97211,45.5616676683123,-122.658322732876,1.0,1.0,,in_service,1923.0,Metro RLIS Affordable Housing
878 NE EMERSON ST,878 NE EMERSON ST,Portland,97211,45.5616237758632,-122.656450711483,1.0,1.0,1.0,in_service,1922.0,Metro RLIS Affordable Housing
914 NE SUMNER ST,914 NE SUMNER ST,Portland,97211,45.5604263951792,-122.655937653777,1.0,1.0,1.0,in_service,1922.0,Metro RLIS Affordable Housing
4619 SE FLAVEL DR,4619 SE FLAVEL DR,Portland,97206,45.4693849138309,-122.614542865477,1.0,1.0,1.0,in_service,1996.0,Metro RLIS Affordable Housing
5259 NE 9TH AVE,5259 NE 9TH AVE,Portland,97211,45.5614389080976,-122.656541523767,1.0,1.0,1.0,in_service,1925.0,Metro RLIS Affordable Housing
866 NE EMERSON ST,866 NE EMERSON ST,Portland,97211,45.5616242423403,-122.656636487402,1.0,1.0,1.0,in_service,1922.0,Metro RLIS Affordable Housing
821 NE SUMNER ST,821 NE SUMNER ST,Portland,97211,45.5608000407131,-122.656992839568,1.0,1.0,1.0,in_service,1945.0,Metro RLIS Affordable Housing
4945 NE GRAND AVE,4945 NE GRAND AVE,Portland,97211,45.5588263985803,-122.660750584611,3.0,3.0,1.0,in_service,1923.0,Metro RLIS Affordable Housing
703 NE WEBSTER ST,703 NE WEBSTER ST,Portland,97211,45.5601987418011,-122.658271074861,1.0,1.0,1.0,in_service,1925.0,Metro RLIS Affordable Housing
CLINTON STREET APARTMENTS,9268 SE CLINTON ST,Portland,97266,45.5022512246066,-122.567488753196,16.0,8.0,,in_service,1996.0,Metro RLIS Affordable Housing
5033 NE 26TH AVE,5033 NE 26TH AVE,Portland,97211,45.5596208518594,-122.639175012782,1.0,1.0,1.0,in_service,1906.0,Metro RLIS Affordable Housing
WYGANT STREET APARTMENTS,4808 NE 8TH AVE,Portland,97211,45.5574261401712,-122.657382490091,5.0,5.0,2.0,in_service,1910.0,Metro RLIS Affordable Housing
5528 NE 17TH AVE,5528 NE 17TH AVE,Portland,97211,45.5631282025312,-122.647714200831,1.0,1.0,1.0,in_service,1923.0,Metro RLIS Affordable Housing
HOPEWELL APARTMENTS,1264 SW CHELTENHAM ST,Portland,97239,45.4800610530298,-122.692228398248,12.0,11.0,4.0,in_service,1996.0,Metro RLIS Affordable Housing
26 NE IVY ST,26 NE IVY ST,Portland,97212,45.5472342146822,-122.665849532812,1.0,1.0,1.0,in_service,1906.0,Metro RLIS Affordable Housing
1214 NE EMERSON ST,1214 NE EMERSON ST,Portland,97211,45.5616304790984,-122.65282786525,1.0,1.0,1.0,in_service,1916.0,Metro RLIS Affordable Housing
9718 N CHARLESTON AVE,9718 N CHARLESTON AVE,Portland,97203,45.5973057482118,-122.747185229606,6.0,6.0,,in_service,1995.0,Metro RLIS Affordable Housing
VILLA DE CLARA VISTA,5300 NE CULLY BLVD,Portland,97218,45.5624020722946,-122.593916530695,133.0,118.0,,in_service,2016.0,Metro RLIS Affordable Housing
RODNEY STREET GROUP HOME,3033 NE RODNEY AVE,Portland,97212,45.5450561948483,-122.664409283977,6.0,6.0,,in_service,1996.0,Metro RLIS Affordable Housing
305 N SHAVER ST,305 N SHAVER ST,Portland,97227,45.5521947867926,-122.669226145872,1.0,1.0,1.0,in_service,2005.0,Metro RLIS Affordable Housing
ALBINA CORNER,409 NE SAN RAFAEL ST,Portland,97212,45.5371945256966,-122.661276198359,48.0,47.0,16.0,in_service,1996.0,Metro RLIS Affordable Housing
ST JAMES APARTMENTS,1312 SW 10TH AVE,Portland,97201,45.5155868291876,-122.684110752042,122.0,122.0,4.0,in_service,1994.0,Metro RLIS Affordable Housing
BARBARA ROBERTS HOUSE,5009 NE KILLINGSWORTH ST,Portland,97218,45.563000704971,-122.611069485292,10.0,10.0,,in_service,1995.0,Metro RLIS Affordable Housing
BELMONT DAIRY,3342 SE MORRISON ST,Portland,97214,45.5166597175118,-122.630213911225,85.0,66.0,18.0,in_service,1996.0,Metro RLIS Affordable Housing
MAYA ANGELOU APARTMENTS,4069 N KERBY AVE,Portland,97227,45.5526872186984,-122.672840727773,43.0,41.0,18.0,in_service,1994.0,Metro RLIS Affordable Housing
BRIDGEVIEW APARTMENTS,6816 N TRUMBULL AVE,Portland,97203,45.5917651122873,-122.761916331355,14.0,13.0,,in_service,1971.0,Metro RLIS Affordable Housing
URBAN LEAGUE/ENTERPRISE PRE-DEV,10 N RUSSELL ST,Portland,97227,45.5407661944041,-122.666868002625,24.0,24.0,,in_service,2007.0,Metro RLIS Affordable Housing
CLARK CENTER ANNEX,323 SE HAWTHORNE BLVD,Portland,97214,45.5124605789589,-122.662126913707,22.0,22.0,,in_service,1923.0,Metro RLIS Affordable Housing
VILLAGE AT THE HEADWATERS,3131 SW MARIGOLD ST,Portland,97219,45.4610389765233,-122.709054574255,56.0,55.0,13.0,in_service,2006.0,Metro RLIS Affordable Housing
THE MORRISON,635 SW 19TH AVE,Portland,97205,45.5223270954251,-122.69027670922,140.0,140.0,,in_service,2007.0,Metro RLIS Affordable Housing
OUR HOUSE,2727 SE ALDER ST,Portland,97214,45.5182128497928,-122.63738544126,14.0,14.0,,in_service,1959.0,Metro RLIS Affordable Housing
ESTATE HOTEL,225 NW COUCH ST,Portland,97209,45.5240567779772,-122.673081332219,194.0,194.0,,in_service,1914.0,Metro RLIS Affordable Housing
CLARA VISTA TOWNHOMES,6706 NE KILLINGSWORTH ST,Portland,97218,45.5624020722946,-122.593916530695,44.0,44.0,44.0,in_service,2006.0,Metro RLIS Affordable Housing
FIR GROVE APARTMENTS,4820 SE 122ND AVE,Portland,97236,45.4870111066972,-122.536921213936,31.0,30.0,1.0,in_service,2006.0,Metro RLIS Affordable Housing
THE JEFFREY,1201 SW 11TH AVE,Portland,97205,45.5169810438844,-122.685208125694,80.0,79.0,,in_service,2008.0,Metro RLIS Affordable Housing
HAZELWOOD STATION APARTMENTS,14719 E BURNSIDE ST,Portland,97233,45.5226259250122,-122.511511665451,60.0,60.0,42.0,in_service,2005.0,Metro RLIS Affordable Housing
839 NE SUMNER ST,839 NE SUMNER ST,Portland,97211,45.5607992419852,-122.656602471874,1.0,1.0,1.0,in_service,1922.0,Metro RLIS Affordable Housing
4725 NE 9TH AVE,4725 NE 9TH AVE,Portland,97211,45.5571552963857,-122.656877566913,2.0,2.0,1.0,in_service,1922.0,Metro RLIS Affordable Housing
5111 NE 29TH AVE,5111 NE 29TH AVE,Portland,97211,45.559827390911,-122.636127554824,1.0,1.0,1.0,in_service,1908.0,Metro RLIS Affordable Housing
BILTMORE HOTEL,310 NW 6TH AVE,Portland,97209,45.5254268797073,-122.676184002979,76.0,76.0,,in_service,1905.0,Metro RLIS Affordable Housing
FLOYD LIGHT APARTMENTS,1005 SE 106TH AVE,Portland,97216,45.5159609825675,-122.554478226177,51.0,50.0,23.0,in_service,1997.0,Metro RLIS Affordable Housing
LEANDER COURT,4620 SE 122ND AVE,Portland,97206,45.4889056632693,-122.537087629149,37.0,37.0,37.0,in_service,2017.0,Metro RLIS Affordable Housing
SPRINGWATER COMMONS,6430 SE 128TH AVE,Portland,97236,45.4764882468661,-122.531675408936,36.0,35.0,31.0,in_service,2004.0,Metro RLIS Affordable Housing
KATERI PARK,3600 SE 28TH AVE,Portland,97202,45.4964881461229,-122.637119528178,50.0,49.0,42.0,in_service,2005.0,Metro RLIS Affordable Housing
MADRONA STUDIOS,10 N WEIDLER ST,Portland,97227,45.533867885064,-122.667133108804,176.0,175.0,,in_service,1997.0,Metro RLIS Affordable Housing
SITKA APARTMENTS,1115 NW NORTHRUP ST,Portland,97209,45.5318337144099,-122.682697648693,209.0,203.0,47.0,in_service,2005.0,Metro RLIS Affordable Housing
FOUNTAIN PLACE APARTMENTS,929 SW SALMON ST,Portland,97205,45.5180945193056,-122.682602376078,80.0,80.0,3.0,in_service,1914.0,Metro RLIS Affordable Housing
VILLAS DE MARIPOSAS,5020 NE KILLINGSWORTH ST,Portland,97218,45.5621307458393,-122.611067893644,71.0,70.0,71.0,in_service,2004.0,Metro RLIS Affordable Housing
PCRI - FAB 4 SCATTERED SITE,4006 NE 8TH AVE,Portland,97212,45.5521917650743,-122.657322595931,5.0,5.0,4.0,in_service,1904.0,Metro RLIS Affordable Housing
RICHARD L. HARRIS BUILDING,8 NW 8TH AVE,Portland,97209,45.523202090226,-122.678228754458,180.0,180.0,,in_service,2004.0,Metro RLIS Affordable Housing
LENTS VILLAGE APARTMENTS,10325 SE HOLGATE BLVD,Portland,97266,45.4904155544341,-122.556290991886,63.0,63.0,7.0,in_service,1997.0,Metro RLIS Affordable Housing
MIDLAND COMMONS APARTMENTS,2830 SE 127TH AVE,Portland,97236,45.5022673886462,-122.532211635215,46.0,44.0,5.0,in_service,2004.0,Metro RLIS Affordable Housing
HALSEY STREET ARMS,12428 NE HALSEY ST,Portland,97230,45.5330441660238,-122.534664504587,55.0,55.0,,in_service,1967.0,Metro RLIS Affordable Housing
LINCOLN WOODS,2333 SE 130TH AVE,Portland,97233,45.5051950971742,-122.530636657465,70.0,70.0,51.0,in_service,2007.0,Metro RLIS Affordable Housing
THE WATERSHED AT HILLSDALE,6388 SW CAPITOL HWY,Portland,97239,45.4776327060666,-122.697455070062,51.0,50.0,,in_service,2008.0,Metro RLIS Affordable Housing
ST FRANCIS,1024 SW MAIN ST,Portland,97205,45.5172806021745,-122.684353827269,132.0,131.0,25.0,in_service,2003.0,Metro RLIS Affordable Housing
MCCOY VILLAGE,4430 NE MARTIN LUTHER KING JR BLVD,Portland,97211,45.555017494693,-122.661185916666,55.0,54.0,44.0,in_service,2001.0,Metro RLIS Affordable Housing
ANDREA PLACE,7621 N PORTSMOUTH AVE,Portland,97203,45.5833379887239,-122.723901936992,15.0,15.0,,in_service,1997.0,Metro RLIS Affordable Housing
FENWICK AVENUE APARTMENTS,8428 N FENWICK AVE,Portland,97217,45.5840360255042,-122.684364326882,27.0,27.0,19.0,in_service,2004.0,Metro RLIS Affordable Housing
BUKAS PLACE,2705 N KILLINGSWORTH ST,Portland,97217,45.5629179761491,-122.694784706842,7.0,7.0,7.0,in_service,2003.0,Metro RLIS Affordable Housing
EMERSON CORNER DUPLEXES,1031 NE EMERSON ST,Portland,97211,45.561918460449,-122.65440348569,4.0,4.0,,in_service,2005.0,Metro RLIS Affordable Housing
74 NE RUSSET ST,74 NE RUSSET ST,Portland,97211,45.5777308104884,-122.665203431531,5.0,5.0,4.0,in_service,2005.0,Metro RLIS Affordable Housing
PARK TERRACE,315 N ALBERTA ST,Portland,97217,45.5596816267365,-122.670236441339,88.0,86.0,,in_service,1944.0,Metro RLIS Affordable Housing
CLINTON RIDGE APARTMENTS,2730 SE 92ND AVE,Portland,97266,45.5019294503648,-122.567534824159,29.0,28.0,1.0,in_service,2003.0,Metro RLIS Affordable Housing
PLAZA DE CEDRO,10801 NE FREMONT ST,Portland,97220,45.5488113823773,-122.551446076523,6.0,6.0,6.0,in_service,2004.0,Metro RLIS Affordable Housing
1773 NE JUNIOR ST,1773 NE JUNIOR ST,Portland,97211,45.5713795668745,-122.646813999532,1.0,1.0,1.0,in_service,1915.0,Metro RLIS Affordable Housing
SW 45TH AVENUE/CARRIAGE HILL APARTMENTS,8010 SW 45TH AVE,Portland,97219,45.4663984157915,-122.722583077262,3.0,3.0,3.0,in_service,2002.0,Metro RLIS Affordable Housing
DOUGLAS MEADOWS,2645 SE 127TH AVE,Portland,97236,45.5027785518215,-122.533009493665,8.0,8.0,,in_service,2003.0,Metro RLIS Affordable Housing
STADIUM STATION APARTMENTS,737 SW 17TH AVE,Portland,97205,45.521563706255,-122.689752042279,115.0,115.0,,in_service,1998.0,Metro RLIS Affordable Housing
LOS JARDINES,5530 NE 60TH AVE,Portland,97218,45.5633495555199,-122.600286362468,43.0,42.0,43.0,in_service,2002.0,Metro RLIS Affordable Housing
ROSELAWN COTTAGE AND LODGE,907 NE ROSELAWN ST,Portland,97211,45.5614031732287,-122.656022848929,8.0,3.0,4.0,in_service,2002.0,Metro RLIS Affordable Housing
STATION PLACE TOWER,1020 NW 9TH AVE,Portland,97209,45.5303359176683,-122.679744456814,176.0,176.0,15.0,in_service,2005.0,Metro RLIS Affordable Housing
YARDS AT UNION STATION,945 NW NAITO PKWY,Portland,97209,45.5299654102439,-122.675776106488,158.0,158.0,,in_service,2002.0,Metro RLIS Affordable Housing
EMERSON TRIPLEX,1309 NE EMERSON ST,Portland,97211,45.5619149368496,-122.651744689969,3.0,3.0,3.0,in_service,2005.0,Metro RLIS Affordable Housing
ROSEMONT COURT,597 N DEKUM ST,Portland,97217,45.572040977138,-122.672749676533,100.0,100.0,4.0,in_service,1916.0,Metro RLIS Affordable Housing
7011 NE EMERSON STREET,7011 NE EMERSON ST,Portland,97218,45.5617431508095,-122.5910263365,2.0,2.0,1.0,in_service,1941.0,Metro RLIS Affordable Housing
JUBILEE REDWOODS,1249 N PRESCOTT ST,Portland,97217,45.5557020357435,-122.6797925383,8.0,8.0,,in_service,1927.0,Metro RLIS Affordable Housing
CARITAS VILLA,16060 E BURNSIDE ST,Portland,97233,45.5217076808095,-122.49802679378,30.0,30.0,,in_service,1991.0,Metro RLIS Affordable Housing
M. CARTER PLAZA,626 NE BRAZEE ST,Portland,97212,45.5400037042403,-122.65901834278,56.0,56.0,12.0,in_service,1973.0,Metro RLIS Affordable Housing
A PHILLIPS SQUARE,606 NE SACRAMENTO ST,Portland,97212,45.5391978377526,-122.659433356906,18.0,18.0,,in_service,1970.0,Metro RLIS Affordable Housing
MARTIN LUTHER KING MANOR,6620 NE 6TH AVE,Portland,97211,45.5715877363733,-122.658802507213,16.0,15.0,1.0,in_service,1990.0,Metro RLIS Affordable Housing
L ROY GARDENS,735 N FREMONT ST,Portland,97227,45.5481657402111,-122.674030996304,18.0,18.0,11.0,in_service,1974.0,Metro RLIS Affordable Housing
BURLWOOD APARTMENTS,14992 SE DIVISION ST,Portland,97236,45.5036535021595,-122.509338626994,35.0,32.0,8.0,in_service,1970.0,Metro RLIS Affordable Housing
GRACE PECK TERRACE,1839 NE 14TH AVE,Portland,97212,45.5359552791689,-122.65179067642,95.0,95.0,,in_service,1980.0,Metro RLIS Affordable Housing
VERMONT SPRINGS,1825 SW VERMONT ST,Portland,97219,45.4762814124323,-122.697349461377,15.0,14.0,,in_service,1989.0,Metro RLIS Affordable Housing
SUMMER RUN APARTMENTS,7810 SE FOSTER RD,Portland,97206,45.4838962740524,-122.583576465277,50.0,50.0,,in_service,1984.0,Metro RLIS Affordable Housing
HOLGATE PLAZA,4333 SE 104TH AVE,Portland,97266,45.4910498490873,-122.556249354337,48.0,48.0,,in_service,1973.0,Metro RLIS Affordable Housing
WESTMORELAND'S UNION MANOR 1,6404 SE 23RD AVE,Portland,97202,45.4768878978113,-122.641951305629,167.0,167.0,,in_service,1966.0,Metro RLIS Affordable Housing
ALBERTA STREET APARTMENTS,5010 NE 19TH AVE,Portland,97211,45.5592489480845,-122.645268967807,10.0,10.0,,in_service,1970.0,Metro RLIS Affordable Housing
MARSHALL UNION MANOR,2020 NW NORTHRUP ST,Portland,97209,45.5309918365822,-122.693016903066,200.0,200.0,,in_service,1974.0,Metro RLIS Affordable Housing
WESTMORELAND'S UNION MANOR 2,6404 SE 23RD AVE,Portland,97202,45.4768878978113,-122.641951305629,50.0,50.0,,in_service,1966.0,Metro RLIS Affordable Housing
MINERVA PLAZA,6633 N OBERLIN ST,Portland,97203,45.5850103566382,-122.735651624534,15.0,15.0,,in_service,1969.0,Metro RLIS Affordable Housing
MERE CENTER,12309 SE BUSH ST,Portland,97236,45.4948309452604,-122.536447536648,10.0,10.0,,in_service,1982.0,Metro RLIS Affordable Housing
TILLICUM COURT APARTMENTS,5135 SE 73RD AVE,Portland,97206,45.4855001879364,-122.588288976427,16.0,15.0,1.0,in_service,1985.0,Metro RLIS Affordable Housing
CHAUCER COURT,1019 SW 10TH AVE,Portland,97205,45.5178943396417,-122.683598752205,84.0,83.0,,in_service,1924.0,Metro RLIS Affordable Housing
ROSELYN APARTMENTS,424 NW 21ST AVE,Portland,97209,45.5260021976993,-122.694083821393,31.0,30.0,,in_service,1912.0,Metro RLIS Affordable Housing
HAWTHORNE EAST,1420 SE 16TH AVE,Portland,97214,45.5123559683021,-122.649293176487,71.0,70.0,,in_service,1982.0,Metro RLIS Affordable Housing
PARK TOWER APARTMENTS,731 SW SALMON ST,Portland,97205,45.5177324800245,-122.681272326832,162.0,162.0,,in_service,1926.0,Metro RLIS Affordable Housing
ADMIRAL APARTMENTS,910 SW PARK AVE,Portland,97205,45.5180941042317,-122.681277749603,37.0,37.0,,in_service,1909.0,Metro RLIS Affordable Housing
BRONAUGH APARTMENTS,1434 SW MORRISON ST,Portland,97205,45.5211031842632,-122.687102594703,51.0,50.0,,in_service,1905.0,Metro RLIS Affordable Housing
UPSHUR HOUSE,2650 NW UPSHUR ST,Portland,97210,45.535805424686,-122.706300267824,30.0,29.0,,in_service,1980.0,Metro RLIS Affordable Housing
UPTOWN TOWER,712 SW ST CLAIR AVE,Portland,97205,45.5231055459808,-122.696472366851,72.0,71.0,,in_service,1982.0,Metro RLIS Affordable Housing
LEXINGTON APARTMENTS,1125 SW 12TH AVE,Portland,97205,45.5176014480146,-122.686066176405,54.0,54.0,,in_service,1980.0,Metro RLIS Affordable Housing
WALNUT PARK APARTMENTS,5272 NE 6TH AVE,Portland,97211,45.5614751424337,-122.659258258127,38.0,38.0,,in_service,1981.0,Metro RLIS Affordable Housing
VOA RECOVERY HOMES,6529 NE MASON ST,Portland,97218,45.5526081908917,-122.59557293676,2.0,2.0,,in_service,1954.0,Metro RLIS Affordable Housing
LIMITED EQUITY/LEASE PURCHASE PROGRAM,501 NE ALBERTA ST,Portland,97211,45.5592439509183,-122.660157759772,4.0,4.0,,in_service,1994.0,Metro RLIS Affordable Housing
CEEL-OCKS / NELSON COURT,8516 N SAINT LOUIS AVE,Portland,97203,45.5939187282769,-122.755154157086,10.0,10.0,,in_service,1995.0,Metro RLIS Affordable Housing
TEA LINK,8028 SE 7TH AVE,Portland,97202,45.465321469224,-122.658672314888,5.0,5.0,,in_service,1995.0,Metro RLIS Affordable Housing
BRADLEY-ANGLE HOUSE,2408 N FARRAGUT ST,Portland,97217,45.5789060088902,-122.691401888882,15.0,15.0,,in_service,1947.0,Metro RLIS Affordable Housing
GARLINGTON PLAZA,509 NE ALBERTA ST,Portland,97211,45.5593185282916,-122.659763123959,52.0,52.0,,in_service,1994.0,Metro RLIS Affordable Housing
GAZELLE HOUSE,5269 NE 25TH AVE,Portland,97211,45.5612980889553,-122.640176674837,5.0,5.0,,in_service,1997.0,Metro RLIS Affordable Housing
JEANS PLACE,18 NE 11TH AVE,Portland,97204,45.5233054533439,-122.654348164247,50.0,50.0,,in_service,,Metro RLIS Affordable Housing
WOODSTOCK COURT,6428 SE 97TH AVE,Portland,97266,45.4759137611662,-122.563142890426,9.0,9.0,,in_service,1993.0,Metro RLIS Affordable Housing
TURNING POINT,6552 SW 19TH AVE,Portland,97239,45.4769644369652,-122.697967151834,24.0,24.0,,in_service,1996.0,Metro RLIS Affordable Housing
SUNRISE PLACE,5724 NE PRESCOTT ST,Portland,97218,45.5549733298097,-122.603707283292,10.0,10.0,,in_service,1996.0,Metro RLIS Affordable Housing
CAMAR APARTMENTS,2164 NW LOVEJOY ST,Portland,97210,45.5296144022843,-122.695855878752,32.0,32.0,,in_service,,Metro RLIS Affordable Housing
CANDALARIA APARTMENTS,1009 SE 162ND AVE,Portland,97233,45.5155020192198,-122.496572832941,32.0,32.0,24.0,in_service,1971.0,Metro RLIS Affordable Housing
CENTER VILLAGE,5845 NE HOYT ST,Portland,97213,45.5273927670338,-122.602761030566,116.0,60.0,60.0,in_service,2000.0,Metro RLIS Affordable Housing
CHERRY BLOSSOM,10570 SE CHERRY BLOSSOM DR,Portland,97216,45.5147355243646,-122.555712359138,120.0,120.0,96.0,in_service,1972.0,Metro RLIS Affordable Housing
SISTER HOUSE,2434 NE 15TH AVE,Portland,97212,45.5402282988745,-122.650123745023,6.0,6.0,,in_service,1924.0,Metro RLIS Affordable Housing
RIDGECREST TIMBERS,8870 N COLUMBIA BLVD,Portland,97203,45.6038508813658,-122.751982492046,97.0,97.0,76.0,in_service,1999.0,Metro RLIS Affordable Housing
SPRINGTREE APARTMENTS,650 SE 162ND AVE,Portland,97233,45.5178807711551,-122.495308569507,72.0,72.0,52.0,in_service,1968.0,Metro RLIS Affordable Housing
VILLAGE GARDEN APARTMENTS,15298 NE SANDY BLVD,Portland,97230,45.5509272432241,-122.505450070035,59.0,59.0,35.0,in_service,1977.0,Metro RLIS Affordable Housing
ROSE WOOD APARTMENTS,4810 NE SANDY BLVD,Portland,97213,45.5384979305399,-122.613747712604,36.0,36.0,,in_service,1955.0,Metro RLIS Affordable Housing
ROSE HOMES,7429 SE BYBEE BLVD,Portland,97206,45.4725391507206,-122.586776670958,10.0,10.0,10.0,in_service,1922.0,Metro RLIS Affordable Housing
RICHMOND PLACE,4147 SE DIVISION ST,Portland,97214,45.5049832321596,-122.61999452095,21.0,20.0,,in_service,1997.0,Metro RLIS Affordable Housing
PROJECT NETWORK CENTER,2631 N MISSISSIPPI AVE,Portland,97227,45.5414305876656,-122.676125301902,19.0,19.0,,in_service,1926.0,Metro RLIS Affordable Housing
PCRI SCATTERED SITE PROJECT,5323 NE 24TH AVE,Portland,97211,45.5618943804992,-122.641187871465,11.0,10.0,6.0,in_service,1922.0,Metro RLIS Affordable Housing
NORTH OSWEGO AVENUE,10032 N OSWEGO AVE,Portland,97203,45.5977363703433,-122.74484492404,5.0,5.0,,in_service,2000.0,Metro RLIS Affordable Housing
MORRISON PARK APARTMENTS,623 SW PARK AVE,Portland,97205,45.5201092947907,-122.680505066084,60.0,60.0,6.0,in_service,1904.0,Metro RLIS Affordable Housing
LYDIA ROY,3940 N HAIGHT AVE,Portland,97201,45.5514836300497,-122.669783240289,92.0,92.0,23.0,in_service,1970.0,Metro RLIS Affordable Housing
EVERETT HOUSE,521 SW 11TH AVE,Portland,97205,45.521300656127,-122.682929592006,5.0,5.0,,in_service,1909.0,Metro RLIS Affordable Housing
LAURELHURST HOUSE ASSISTED LIVING COMMUNITY,15 SE 55TH AVE,Portland,97215,45.5226667901513,-122.607897856142,38.0,37.0,,in_service,2000.0,Metro RLIS Affordable Housing
LOU BURGE'S PLACE,12715 NE GLISAN ST,Portland,97230,45.5266301314397,-122.532188195138,10.0,10.0,,in_service,1967.0,Metro RLIS Affordable Housing
ROSE CITY CENTER APARTMENTS,6819 NE SANDY BLVD,Portland,97213,45.5471109917844,-122.592812703712,55.0,52.0,,in_service,1994.0,Metro RLIS Affordable Housing
TWELVTH AVENUE TERRACE,1515 SW 12TH AVE,Portland,97201,45.5148020829045,-122.687635038457,120.0,119.0,,in_service,1993.0,Metro RLIS Affordable Housing
MARYSVILLE COMMONS,7704 SE RAYMOND ST,Portland,97206,45.4863659531,-122.584048932565,5.0,5.0,5.0,in_service,2004.0,Metro RLIS Affordable Housing
LENTS COURT,6102 SE 86TH AVE,Portland,97266,45.4786211673236,-122.574150119579,5.0,5.0,,in_service,1907.0,Metro RLIS Affordable Housing
2827 NE LIBERTY ST,2827 NE LIBERTY ST,Portland,97211,45.5707069641915,-122.636169202184,5.0,5.0,,in_service,1989.0,Metro RLIS Affordable Housing
NE SIMPSON,5719 NE SIMPSON ST,Portland,97218,45.5651499326138,-122.604067281867,5.0,5.0,,in_service,1989.0,Metro RLIS Affordable Housing
MUSOLF MANOR,216 NW 3RD AVE,Portland,97209,45.5247750196947,-122.672915688818,96.0,95.0,,in_service,1910.0,Metro RLIS Affordable Housing
FAIRFIELD HOTEL,1117 SW STARK ST,Portland,97205,45.5225081619437,-122.682433446653,82.0,80.0,,in_service,1911.0,Metro RLIS Affordable Housing
IRVINGTON VILLAGE,420 NE MASON ST,Portland,97211,45.5531655643043,-122.661012562926,104.0,104.0,,in_service,2001.0,Metro RLIS Affordable Housing
RAINBOW HOUSE,2633 NE 21ST AVE,Portland,97212,45.5417346822712,-122.644569822246,5.0,5.0,,in_service,1911.0,Metro RLIS Affordable Housing
GARDEN PARK ESTATES,3140 SE 136TH AVE,Portland,97236,45.4995768022168,-122.523455113746,63.0,63.0,1.0,in_service,1978.0,Metro RLIS Affordable Housing
PIER PARK APARTMENTS,8660 N COLUMBIA BLVD,Portland,97203,45.6026297630499,-122.749292990464,164.0,164.0,32.0,in_service,1997.0,Metro RLIS Affordable Housing
SHORELINE BUILDING,123 W BURNSIDE ST,Portland,97209,45.5233263297167,-122.672039570698,62.0,62.0,,in_service,1912.0,Metro RLIS Affordable Housing
ST ANTHONY VILLAGE,3560 SE 79TH AVE,Portland,97206,45.496004325177,-122.582136275435,127.0,106.0,4.0,in_service,2000.0,Metro RLIS Affordable Housing
KERNLODGE HOMES,6102 SE 86TH AVE,Portland,97266,45.4786211673236,-122.574150119579,10.0,10.0,,in_service,1994.0,Metro RLIS Affordable Housing
NE 15TH AND ALBERTA PROJECT,1488 NE ALBERTA ST,Portland,97211,45.5589360057279,-122.64999314032,11.0,10.0,,in_service,1936.0,Metro RLIS Affordable Housing
RUSSET AND MORRIS GREENPLEXES,523 NE MORRIS ST,Portland,97212,45.5450904460029,-122.660943822441,5.0,5.0,3.0,in_service,2005.0,Metro RLIS Affordable Housing
NAWIKKA COURT APARTMENTS,5110 SE 76TH AVE,Portland,97206,45.4858519473884,-122.584909865864,16.0,15.0,1.0,in_service,1988.0,Metro RLIS Affordable Housing
CENTRAL CHALET APARTMENTS,9020 N CENTRAL ST,Portland,97203,45.5935747519678,-122.755715357793,20.0,20.0,9.0,in_service,1973.0,Metro RLIS Affordable Housing
NORTHWEST TOWER,335 NW 19TH AVE,Portland,97209,45.5252731216163,-122.690843887805,164.0,164.0,24.0,in_service,1963.0,Metro RLIS Affordable Housing
