project_name,address,city,zip,latitude,longitude,total_units,affordable_units,family_units_estimate,status,expected_year,source
Rosemont Town Homes,597 N Dekum Street,Portland,97217,45.57172,-122.67279,18.0,18.0,18.0,in_service,2001.0,OAHI (data.oregon.gov p9yn-ftai)
Cascadian Terrace,5700 N KERBY AVE,Portland,97217,45.56447,-122.6729,103.0,103.0,1.0,in_service,1968.0,OAHI (data.oregon.gov p9yn-ftai)
CARRIAGE HILL,8008 SW 45TH AVE,Portland,97219,45.46641,-122.72319,3.0,3.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
4548 SE 122ND AVE,4548 SE 122ND AVE,Portland,97236,45.48884,-122.53775,37.0,37.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
"Morrison, The",1959 SW Morrison,Portland,97205,45.52247,-122.69135,140.0,140.0,21.0,in_service,2007.0,OAHI (data.oregon.gov p9yn-ftai)
PCRI Scattered Site Project,5319 NE 24th,Portland,97230,45.56189,-122.64089,10.0,8.0,10.0,in_service,,OAHI (data.oregon.gov p9yn-ftai)
GOOD SHEPHERD II,5717 NE SIMPSON ST,Portland,97218,45.56509,-122.60407,5.0,5.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
HALSEY STREET PROJECT,18940 NE HALSEY ST,Portland,97230,45.53368,-122.46803,6.0,6.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Glisan Commons,555 NE 100th Avenue,Portland,97220,45.52696,-122.56102,67.0,67.0,,in_service,2014.0,OAHI (data.oregon.gov p9yn-ftai)
Hazel Ling Yee Apartments (fka Powell),3000 SE Powell Blvd,Portland,97202,45.49705,-122.63419,80.0,80.0,,in_development,2023.0,OAHI (data.oregon.gov p9yn-ftai)
PINES I,110 SE 188TH AVE,Portland,97233,45.52143,-122.4701,47.0,47.0,47.0,in_service,1996.0,OAHI (data.oregon.gov p9yn-ftai)
Esperanza Court,3611 SE 28th Avenue,Portland,97202,45.4969,-122.63813,70.0,70.0,42.0,in_service,2008.0,OAHI (data.oregon.gov p9yn-ftai)
FIR GROVE,4820 SE 122ND AVE,Portland,97236,45.48705,-122.53784,31.0,31.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
DEMAR DOWNS,2700 SE 148TH AVE,Portland,97236,45.50226,-122.51046,18.0,18.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
S & P,6923 N FESSENDEN ST,Portland,97203,45.59333,-122.73466,5.0,5.0,,in_service,1995.0,OAHI (data.oregon.gov p9yn-ftai)
4616 NE GARFIELD AVE,4616 NE GARFIELD AVE,Portland,97211,45.55669,-122.66259,3.0,3.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
Las Adelitas,6723 NE Killingsworth Street,Portland,97218,45.5627,-122.593,142.0,141.0,98.0,in_service,2022.0,OAHI (data.oregon.gov p9yn-ftai)
622 SE 19TH AVE,622 SE 19TH AVE,Portland,97214,45.51818,-122.64654,2.0,2.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
ST. MARYS ETHIOPIAN ORTHODOX,7715 SE 92ND AVE,Portland,97266,45.46707,-122.5691,5.0,5.0,,in_service,1971.0,OAHI (data.oregon.gov p9yn-ftai)
"Rose, The",631 SE TAYLOR ST,Portland,97214,45.51508,-122.65908,58.0,58.0,,in_service,2020.0,OAHI (data.oregon.gov p9yn-ftai)
2735 SE CLINTON ST,2735 SE CLINTON ST,Portland,97202,45.50353,-122.63795,3.0,3.0,,in_service,,OAHI (data.oregon.gov p9yn-ftai)
1110 N FAILING ST,1110 N FAILING ST,Portland,97227,45.55085,-122.67801,3.0,3.0,,in_service,1913.0,OAHI (data.oregon.gov p9yn-ftai)
